,cedula,department,genero,,,,,
0,1037611242,Finanzas,Mujer,,,,,
1,1037611243,Tecnico,Hombre,,,,,
2,1037611244,Finanzas,Hombre,,,,,
3,1037611245,Tecnico,Mujer,,,,,
4,1037611246,Tecnico,Mujer,,,,,
5,1037611247,Tecnico,Mujer,,,,,
6,1037611248,Tecnico,Hombre,,,,,
7,1037611249,Tecnico,Mujer,,,,,
8,1037611250,Finanzas,Mujer,,,,,
9,1037611251,Tecnico,Mujer,,,,,
10,1037611252,Tecnico,Mujer,,,,,
11,1037611253,Tecnico,Hombre,,,,,
12,1037611254,Tecnico,Hombre,,,,,
13,1037611255,Tecnico,Hombre,,,,,
14,538010,Tecnico,Mujer,,,,,
15,1037611257,Tecnico,Mujer,,,,,
16,1037611242,Finanzas,Mujer,,,,,
17,1037611259,Finanzas,Mujer,,,,,
18,1037611260,Tecnico,Hombre,,,,, 
19,1037611261,Tecnico,Mujer,,,,,
20,1037611262,Tecnico,Mujer,,,,,
21,1037611263,Finanzas,Mujer,,,,,
22,1037611264,Tecnico,Hombre,,,,,
23,1037611265,Tecnico,Hombre,,,,,
24,1037611266,Tecnico,Hombre,,,,,
25,1037611267,Tecnico,Hombre,,,,,
26,1037611268,Tecnico,Hombre,,,,,
27,1037611269,Tecnico,Mujer,,,,,
28,1037611270,Finanzas,Mujer,,,,,
29,1037611271,Tecnico,Mujer,,,,,
30,1037611272,Tecnico,Mujer,,,,,
31,1037611273,Finanzas,Hombre,,,,,
32,1037611274,Tecnico,Mujer,,,,,
33,1037611275,Tecnico,Hombre,,,,,
34,1037611276,Tecnico,Mujer,,,,,
35,1037611277,Tecnico,Hombre,,,,,
36,1037611278,Tecnico,Mujer,,,,,
37,1037611279,Finanzas,Hombre,,,,,
38,1037611280,Tecnico,Mujer,,,,,
39,1037611281,Tecnico,Hombre,,,,,
40,1037611282,Tecnico,Hombre,,,,,
41,1037611283,Tecnico,Hombre,,,,,
42,1037611284,Tecnico,Hombre,,,,,
43,1037611285,Tecnico,Hombre,,,,,
44,1037611286,Tecnico,Hombre,,,,,
45,1037611287,Finanzas,Mujer,,,,,
46,1037611288,Tecnico,Mujer,,,,,
47,1037611289,Tecnico,Mujer,,,,,
48,1037611290,Tecnico,Hombre,,,,,
49,1037611291,Finanzas,Hombre,,,,,
50,1037611292,Tecnico,Hombre,,,,,
51,1037611293,Finanzas,Hombre,,,,,
52,1037611294,Tecnico,Hombre,,,,,
53,1037611295,Tecnico,Hombre,,,,,
54,1037611296,Tecnico,Mujer,,,,,
55,1037611297,Finanzas,Hombre,,,,,
56,1037611298,Finanzas,Hombre,,,,,
57,1037611299,Finanzas,Mujer,,,,,
58,1037611300,Finanzas,Hombre,,,,,
59,1037611301,Finanzas,Mujer,,,,,
60,1037611302,Tecnico,Hombre,,,,,
61,1037611303,Finanzas,Hombre,,,,,
62,1037611304,Tecnico,Hombre,,,,,
63,1037611305,Tecnico,Hombre,,,,,
64,1037611306,Tecnico,Mujer,,,,,
65,1037611307,Tecnico,Hombre,,,,,
66,1037611308,Tecnico,Hombre,,,,,
67,1037611309,Finanzas,Hombre,,,,,
68,1037611310,Finanzas,Mujer,,,,,
69,1037611311,Tecnico,Mujer,,,,,
70,1037611312,Tecnico,Mujer,,,,,
71,1037611313,Finanzas,Hombre,,,,,
72,1037611314,Tecnico,Hombre,,,,,
73,1037611315,Finanzas,Mujer,,,,,
74,1037611316,Tecnico,Mujer,,,,,
75,1037611317,Tecnico,Mujer,,,,,
76,1037611318,Finanzas,Hombre,,,,,
77,1037611319,Tecnico,Mujer,,,,,
78,1037611320,Tecnico,Hombre,,,,,
79,1037611321,Tecnico,Hombre,,,,,
80,1037611322,Tecnico,Hombre,,,,,
81,1037611323,Finanzas,Hombre,,,,,
82,1037611324,Tecnico,Hombre,,,,,
83,1037611325,Tecnico,Mujer,,,,,
84,1037611326,Finanzas,Hombre,,,,,
85,1037611327,Tecnico,Hombre,,,,,
86,1037611328,Tecnico,Mujer,,,,,
87,1037611329,Tecnico,Mujer,,,,,
88,1037611330,Tecnico,Mujer,,,,,
89,1037611331,Tecnico,Hombre,,,,,
90,1037611332,Tecnico,Mujer,,,,,
91,1037611333,Tecnico,Hombre,,,,,
92,1037611334,Tecnico,Hombre,,,,,
93,1037611335,Tecnico,Mujer,,,,,
94,1037611336,Finanzas,Mujer,,,,,
95,1037611337,Tecnico,Hombre,,,,,
96,1037611338,Finanzas,Mujer,,,,,
97,1037611339,Tecnico,Mujer,,,,,
98,1037611340,Tecnico,Mujer,,,,,
99,1037611341,Tecnico,Hombre,,,,,
100,1037611342,Finanzas,Mujer,,,,,
101,1037611343,Tecnico,Mujer,,,,,
102,1037611344,Tecnico,Hombre,,,,,
103,1037611345,Finanzas,Mujer,,,,,
104,1037611346,Tecnico,Mujer,,,,,
105,1037611347,Tecnico,Mujer,,,,,
106,1037611348,Finanzas,Hombre,,,,,
107,1037611349,Tecnico,Hombre,,,,,
108,1037611350,Finanzas,Hombre,,,,,
109,1037611351,Tecnico,Mujer,,,,,
110,1037611352,Finanzas,Hombre,,,,,
111,1037611353,Finanzas,Hombre,,,,,
112,1037611354,Tecnico,Hombre,,,,,
113,1037611355,Finanzas,Hombre,,,,,
114,1037611356,Tecnico,Mujer,,,,,
115,1037611357,Tecnico,Hombre,,,,,
116,1037611358,Finanzas,Mujer,,,,,
117,1037611359,Tecnico,Mujer,,,,,
118,1037611360,Tecnico,Mujer,,,,,
119,1037611361,Finanzas,Hombre,,,,,
120,1037611362,Tecnico,Hombre,,,,,
121,1037611363,Finanzas,Hombre,,,,,
122,1037611364,Tecnico,Hombre,,,,,
123,1037611365,Tecnico,Mujer,,,,,
124,1037611366,Tecnico,Mujer,,,,,
125,1037611367,Finanzas,Hombre,,,,,
126,1037611368,Tecnico,Mujer,,,,,
127,1037611369,Finanzas,Mujer,,,,,
128,1037611370,Tecnico,Mujer,,,,,
129,1037611371,Finanzas,Mujer,,,,,
130,1037611372,Tecnico,Mujer,,,,,
131,1037611373,Tecnico,Mujer,,,,,
132,1037611374,Tecnico,Hombre,,,,,
133,1037611375,Finanzas,Hombre,,,,,
134,1037611376,Tecnico,Mujer,,,,,
135,1037611377,Tecnico,Mujer,,,,,
136,1037611378,Tecnico,Hombre,,,,,
137,1037611379,Finanzas,Hombre,,,,,
138,1037611380,Finanzas,Hombre,,,,,
139,1037611381,Finanzas,Mujer,,,,,
140,1037611382,Tecnico,Hombre,,,,,
141,1037611383,Finanzas,Hombre,,,,,
142,1037611384,Finanzas,Mujer,,,,,
143,1037611385,Finanzas,Mujer,,,,,
144,1037611386,Finanzas,Mujer,,,,,
145,1037611387,Tecnico,Mujer,,,,,
146,1037611388,Tecnico,Mujer,,,,,
147,1037611389,Finanzas,Hombre,,,,,
148,1037611390,Tecnico,Mujer,,,,,
149,1037611391,Tecnico,Hombre,,,,,
150,1037611392,Tecnico,Mujer,,,,,
151,1037611393,Tecnico,Hombre,,,,,
152,1037611394,Tecnico,Hombre,,,,,
153,1037611395,Finanzas,Hombre,,,,,
154,1037611396,Tecnico,Mujer,,,,,
155,1037611397,Tecnico,Hombre,,,,,
156,1037611398,Tecnico,Hombre,,,,,
157,1037611399,Tecnico,Hombre,,,,,
158,1037611400,Finanzas,Mujer,,,,,
159,1037611401,Tecnico,Hombre,,,,,
160,1037611402,Finanzas,Mujer,,,,,
161,1037611403,Tecnico,Mujer,,,,,
162,1037611404,Tecnico,Mujer,,,,,
163,1037611405,Tecnico,Mujer,,,,,
164,1037611406,Tecnico,Mujer,,,,,
165,1037611407,Tecnico,Mujer,,,,,
166,1037611408,Finanzas,Mujer,,,,,
167,1037611409,Tecnico,Hombre,,,,,
168,1037611410,Tecnico,Hombre,,,,,
169,1037611411,Tecnico,Mujer,,,,,
170,1037611412,Finanzas,Mujer,,,,,
171,1037611413,Tecnico,Mujer,,,,,
172,1037611414,Tecnico,Mujer,,,,,
173,1037611415,Tecnico,Hombre,,,,,
174,1037611416,Finanzas,Mujer,,,,,
175,1037611417,Finanzas,Hombre,,,,,
176,1037611418,Tecnico,Hombre,,,,,
177,1037611419,Tecnico,Hombre,,,,,
178,1037611420,Tecnico,Hombre,,,,,
179,1037611421,Finanzas,Hombre,,,,,
180,1037611422,Tecnico,Mujer,,,,,
181,1037611423,Tecnico,Mujer,,,,,
182,1037611424,Tecnico,Hombre,,,,,
183,1037611425,Tecnico,Hombre,,,,,
184,1037611426,Tecnico,Mujer,,,,,
185,1037611427,Finanzas,Hombre,,,,,
186,1037611428,Finanzas,Hombre,,,,,
187,1037611429,Finanzas,Hombre,,,,,
188,1037611430,Tecnico,Mujer,,,,,
189,1037611431,Tecnico,Hombre,,,,,
190,1037611432,Finanzas,Hombre,,,,,
191,1037611433,Tecnico,Mujer,,,,,
192,1037611434,Finanzas,Mujer,,,,,
193,1037611435,Finanzas,Hombre,,,,,
194,1037611436,Tecnico,Hombre,,,,,
195,1037611437,Finanzas,Hombre,,,,,
196,1037611438,Finanzas,Mujer,,,,,
197,1037611439,Tecnico,Hombre,,,,,
198,1037611440,Tecnico,Mujer,,,,,
199,1037611441,Tecnico,Mujer,,,,,
200,1037611442,Tecnico,Mujer,,,,,
201,1037611443,Tecnico,Hombre,,,,,
202,1037611444,Tecnico,Mujer,,,,,
203,1037611445,Tecnico,Mujer,,,,,
204,1037611446,Tecnico,Hombre,,,,,
205,1037611447,Finanzas,Mujer,,,,,
206,1037611448,Tecnico,Mujer,,,,,
207,1037611449,Finanzas,Hombre,,,,,
208,1037611450,Tecnico,Hombre,,,,,
209,1037611451,Tecnico,Hombre,,,,,
210,1037611452,Tecnico,Mujer,,,,,
211,1037611453,Tecnico,Mujer,,,,,
212,1037611454,Tecnico,Hombre,,,,,
213,1037611455,Tecnico,Mujer,,,,,
214,1037611456,Tecnico,Hombre,,,,,
215,1037611457,Tecnico,Mujer,,,,,
216,1037611458,Finanzas,Hombre,,,,,
217,1037611459,Tecnico,Hombre,,,,,
218,1037611460,Tecnico,Mujer,,,,,
219,1037611461,Tecnico,Hombre,,,,,
220,1037611462,Tecnico,Hombre,,,,,
221,1037611463,Finanzas,Hombre,,,,,
222,1037611464,Tecnico,Hombre,,,,,
223,1037611465,Tecnico,Hombre,,,,,
224,1037611466,Tecnico,Hombre,,,,,
225,1037611467,Tecnico,Hombre,,,,,
226,1037611468,Tecnico,Hombre,,,,,
227,1037611469,Finanzas,Hombre,,,,,
228,1037611470,Tecnico,Hombre,,,,,
229,1037611471,Tecnico,Mujer,,,,,
230,1037611472,Tecnico,Hombre,,,,,
231,1037611473,Tecnico,Mujer,,,,,
232,1037611474,Tecnico,Mujer,,,,,
233,1037611475,Tecnico,Mujer,,,,,
234,1037611476,Tecnico,Hombre,,,,,
235,1037611477,Tecnico,Hombre,,,,,
236,1037611478,Finanzas,Mujer,,,,,
237,1037611479,Finanzas,Mujer,,,,,
238,1037611480,Tecnico,Hombre,,,,,
239,1037611481,Tecnico,Mujer,,,,,
240,1037611482,Finanzas,Mujer,,,,,
241,1037611483,Tecnico,Mujer,,,,,
242,1037611484,Tecnico,Hombre,,,,,
243,1037611485,Tecnico,Mujer,,,,,
244,1037611486,Tecnico,Mujer,,,,,
245,1037611487,Finanzas,Mujer,,,,,
246,1037611488,Tecnico,Mujer,,,,,
247,1037611489,Finanzas,Mujer,,,,,
248,1037611490,Tecnico,Hombre,,,,,
249,1037611491,Tecnico,Hombre,,,,,
250,1037611492,Tecnico,Mujer,,,,,
251,1037611493,Finanzas,Hombre,,,,,
252,1037611494,Tecnico,Hombre,,,,,
253,1037611495,Finanzas,Mujer,,,,,
254,1037611496,Tecnico,Hombre,,,,,
255,1037611497,Tecnico,Hombre,,,,,
256,1037611498,Tecnico,Mujer,,,,,
